dataset,image_path,mse,psnr,original_entropy,transformed_entropy,quantized_entropy,encode_ms,quant_ms,entropy_enc_ms,entropy_dec_ms,dequant_ms,inverse_ms,error
AerialImages,Datasets\AerialImages\11.png,16.148,36.0496,7.35337,1.66234,1.66234,101.709,0.0,0.0,0.0,0.0,79.123,
AerialImages,Datasets\AerialImages\12.png,15.8815,36.1219,6.3301,1.46995,1.46995,116.777,0.0,0.0,0.0,0.0,93.4076,
AerialImages,Datasets\AerialImages\13.png,17.0095,35.8239,6.56738,1.9132,1.9132,27.9375,0.0,0.0,0.0,0.0,25.3539,
AerialImages,Datasets\AerialImages\14.png,16.0822,36.0674,7.57873,1.91483,1.91483,27.4865,0.0,0.0,0.0,0.0,23.0063,
AerialImages,Datasets\AerialImages\15.png,16.1044,36.0613,6.67723,1.59168,1.59168,115.032,0.0,0.0,0.0,0.0,101.931,
AerialImages,Datasets\AerialImages\16.png,15.4608,36.2385,6.92361,1.71516,1.71516,96.8047,0.0,0.0,0.0,0.0,246.417,
AerialImages,Datasets\AerialImages\17.png,16.8685,35.86,7.35108,1.70503,1.70503,30.6721,0.0,0.0,0.0,0.0,24.3984,
AerialImages,Datasets\AerialImages\20.png,17.4435,35.7145,7.39831,2.37329,2.37329,34.9165,0.0,0.0,0.0,0.0,23.3054,
AerialImages,Datasets\AerialImages\21.png,12.8055,37.0568,6.77765,1.42011,1.42011,250.984,0.0,0.0,0.0,0.0,80.8509,
AerialImages,Datasets\AerialImages\22.png,17.3542,35.7367,7.03531,1.59673,1.59673,269.325,0.0,0.0,0.0,0.0,151.064,
AerialImages,Datasets\AerialImages\23.png,17.3693,35.733,6.91268,2.00193,2.00193,58.1737,0.0,0.0,0.0,0.0,68.3058,
AerialImages,Datasets\AerialImages\26.png,5.64158,40.6168,6.73265,1.2626,1.2626,83.6441,0.0,0.0,0.0,0.0,58.724,
AerialImages,Datasets\AerialImages\27.png,13.7336,36.753,6.87088,1.3526,1.3526,29.5074,0.0,0.0,0.0,0.0,22.8699,
AerialImages,Datasets\AerialImages\28.png,17.5756,35.6817,7.07281,2.40947,2.40947,35.7405,0.0,0.0,0.0,0.0,20.7197,
AerialImages,Datasets\AerialImages\29.png,17.4906,35.7028,6.99398,2.03709,2.03709,263.692,0.0,0.0,0.0,0.0,259.883,
AerialImages,Datasets\AerialImages\30.png,17.484,35.7044,7.47051,2.33501,2.33501,34.8915,0.0,0.0,0.0,0.0,20.3319,
AerialImages,Datasets\AerialImages\31.png,15.2309,36.3035,6.79431,1.59532,1.59532,74.16,0.0,0.0,0.0,0.0,68.6008,
AerialImages,Datasets\AerialImages\32.png,16.7498,35.8907,7.64701,2.16702,2.16702,266.22,0.0,0.0,0.0,0.0,161.462,
AerialImages,Datasets\AerialImages\33.png,17.2617,35.76,7.33111,2.54945,2.54945,37.9579,0.0,0.0,0.0,0.0,27.3578,
AerialImages,Datasets\AerialImages\34.png,14.3023,36.5767,6.77764,1.49702,1.49702,248.319,0.0,0.0,0.0,0.0,259.746,
AerialImages,Datasets\AerialImages\35.png,16.8569,35.863,7.12793,1.68387,1.68387,117.089,0.0,0.0,0.0,0.0,102.15,
AerialImages,Datasets\AerialImages\36.png,17.4168,35.7211,6.41329,1.26435,1.26435,150.756,0.0,0.0,0.0,0.0,110.198,
AerialImages,Datasets\AerialImages\37.png,14.2639,36.5884,6.57856,1.09989,1.09989,135.285,0.0,0.0,0.0,0.0,135.006,
AerialImages,Datasets\AerialImages\38.png,13.4608,36.8401,6.96194,1.47177,1.47177,144.632,0.0,0.0,0.0,0.0,102.305,
AerialImages,Datasets\AerialImages\8.png,16.5796,35.9351,7.0507,1.84525,1.84525,104.654,0.0,0.0,0.0,0.0,85.3717,
AerialImages,Datasets\AerialImages\9.png,18.1488,35.5423,7.11768,2.25977,2.25977,111.786,0.0,0.0,0.0,0.0,153.388,
IconsSample,Datasets\IconsSample\1.png,1.69965,45.8272,2.17047,0.234053,0.234053,21.1986,0.0,0.0,0.0,0.0,21.1763,
IconsSample,Datasets\IconsSample\10.png,6.5485,39.9694,4.56524,0.492199,0.492199,33.7179,0.0,0.0,0.0,0.0,31.5527,
IconsSample,Datasets\IconsSample\100.png,2.98494,43.3814,3.1377,0.26873,0.26873,24.6883,0.0,0.0,0.0,0.0,27.9204,
IconsSample,Datasets\IconsSample\101.png,6.04159,40.3193,5.67357,0.195828,0.195828,34.0038,0.0,0.0,0.0,0.0,41.1053,
IconsSample,Datasets\IconsSample\102.png,2.0453,45.0232,2.01532,0.25199,0.25199,23.6589,0.0,0.0,0.0,0.0,24.7643,
IconsSample,Datasets\IconsSample\103.png,7.81388,39.2021,6.46002,0.193436,0.193436,25.1827,0.0,0.0,0.0,0.0,32.3487,
IconsSample,Datasets\IconsSample\104.png,3.39931,42.8169,3.66605,0.394491,0.394491,31.7486,0.0,0.0,0.0,0.0,38.9841,
IconsSample,Datasets\IconsSample\105.png,7.49111,39.3853,4.94975,0.459852,0.459852,36.4268,0.0,0.0,0.0,0.0,33.8926,
IconsSample,Datasets\IconsSample\106.png,7.05854,39.6437,6.26849,0.43122,0.43122,23.3719,0.0,0.0,0.0,0.0,35.1817,
IconsSample,Datasets\IconsSample\107.png,10.8148,37.7906,6.83084,0.208672,0.208672,45.1859,0.0,0.0,0.0,0.0,28.9416,
IconsSample,Datasets\IconsSample\108.png,7.29701,39.4994,6.84786,0.484673,0.484673,60.7871,0.0,0.0,0.0,0.0,71.0856,
IconsSample,Datasets\IconsSample\109.png,6.48616,40.0109,6.30307,0.467344,0.467344,49.4844,0.0,0.0,0.0,0.0,28.3574,
IconsSample,Datasets\IconsSample\11.png,5.70628,40.5673,4.19174,0.434489,0.434489,48.6048,0.0,0.0,0.0,0.0,24.3504,
IconsSample,Datasets\IconsSample\110.png,6.38421,40.0797,4.43379,0.479593,0.479593,36.6393,0.0,0.0,0.0,0.0,35.1797,
IconsSample,Datasets\IconsSample\111.png,9.53044,38.3397,4.85149,0.240419,0.240419,20.1064,0.0,0.0,0.0,0.0,29.1467,
IconsSample,Datasets\IconsSample\112.png,5.56715,40.6745,4.76534,0.414599,0.414599,24.3362,0.0,0.0,0.0,0.0,37.2335,
IconsSample,Datasets\IconsSample\113.png,3.47859,42.7168,2.55689,0.360005,0.360005,21.7244,0.0,0.0,0.0,0.0,32.6811,
IconsSample,Datasets\IconsSample\114.png,1.83519,45.494,2.40053,0.208784,0.208784,35.7698,0.0,0.0,0.0,0.0,34.7095,
IconsSample,Datasets\IconsSample\115.png,6.00887,40.3429,5.01149,0.494072,0.494072,58.6748,0.0,0.0,0.0,0.0,75.2649,
IconsSample,Datasets\IconsSample\116.png,4.71366,41.3972,5.63237,0.366947,0.366947,37.5993,0.0,0.0,0.0,0.0,26.4358,
IconsSample,Datasets\IconsSample\117.png,3.72424,42.4204,2.94794,0.327702,0.327702,30.2899,0.0,0.0,0.0,0.0,29.0587,
IconsSample,Datasets\IconsSample\118.png,3.65125,42.5064,4.28475,0.38413,0.38413,37.5686,0.0,0.0,0.0,0.0,24.6353,
IconsSample,Datasets\IconsSample\119.png,2.38882,44.349,1.74381,0.283085,0.283085,28.4097,0.0,0.0,0.0,0.0,23.6086,
IconsSample,Datasets\IconsSample\12.png,7.12806,39.6011,5.16558,0.526588,0.526588,60.5189,0.0,0.0,0.0,0.0,66.865,
IconsSample,Datasets\IconsSample\120.png,4.43613,41.6608,3.95974,0.324783,0.324783,33.0302,0.0,0.0,0.0,0.0,44.6272,
IconsSample,Datasets\IconsSample\121.png,5.68618,40.5826,3.78854,0.42215,0.42215,31.9377,0.0,0.0,0.0,0.0,34.0148,
IconsSample,Datasets\IconsSample\122.png,7.50687,39.3762,6.78927,0.451422,0.451422,33.2534,0.0,0.0,0.0,0.0,54.6318,
IconsSample,Datasets\IconsSample\123.png,6.41194,40.0609,4.2911,0.447597,0.447597,24.9021,0.0,0.0,0.0,0.0,34.8457,
IconsSample,Datasets\IconsSample\124.png,8.95793,38.6087,4.86361,0.219812,0.219812,26.8078,0.0,0.0,0.0,0.0,26.2507,
IconsSample,Datasets\IconsSample\125.png,2.18132,44.7436,5.46074,0.215254,0.215254,28.7178,0.0,0.0,0.0,0.0,25.9448,
IconsSample,Datasets\IconsSample\126.png,5.08921,41.0643,6.22974,0.349421,0.349421,45.8176,0.0,0.0,0.0,0.0,23.6835,
IconsSample,Datasets\IconsSample\127.png,1.09279,47.7455,2.04228,0.212848,0.212848,39.8466,0.0,0.0,0.0,0.0,68.0161,
IconsSample,Datasets\IconsSample\128.png,3.83308,42.2953,2.30885,0.410224,0.410224,61.9839,0.0,0.0,0.0,0.0,69.1588,
IconsSample,Datasets\IconsSample\129.png,3.26005,42.9986,2.55019,0.356235,0.356235,39.4091,0.0,0.0,0.0,0.0,38.2166,
IconsSample,Datasets\IconsSample\13.png,3.13789,43.1644,3.40116,0.364977,0.364977,28.6741,0.0,0.0,0.0,0.0,26.1665,
IconsSample,Datasets\IconsSample\130.png,3.79167,42.3425,2.31617,0.31445,0.31445,29.1434,0.0,0.0,0.0,0.0,32.6141,
IconsSample,Datasets\IconsSample\131.png,4.16662,41.933,3.55205,0.354372,0.354372,40.8317,0.0,0.0,0.0,0.0,40.7203,
IconsSample,Datasets\IconsSample\132.png,2.20602,44.6947,1.69354,0.243493,0.243493,39.9362,0.0,0.0,0.0,0.0,25.6186,
IconsSample,Datasets\IconsSample\133.png,3.9719,42.1408,4.73747,0.443996,0.443996,47.9901,0.0,0.0,0.0,0.0,75.7508,
IconsSample,Datasets\IconsSample\134.png,4.60597,41.4976,4.45283,0.357589,0.357589,48.8861,0.0,0.0,0.0,0.0,32.8382,
IconsSample,Datasets\IconsSample\135.png,2.9816,43.3863,2.7037,0.255993,0.255993,31.8217,0.0,0.0,0.0,0.0,37.7318,
IconsSample,Datasets\IconsSample\136.png,3.00866,43.3471,2.35551,0.327073,0.327073,42.9561,0.0,0.0,0.0,0.0,25.7129,
IconsSample,Datasets\IconsSample\137.png,3.89671,42.2238,4.48004,0.31438,0.31438,32.1004,0.0,0.0,0.0,0.0,26.2881,
IconsSample,Datasets\IconsSample\138.png,7.39827,39.4395,5.15465,0.195453,0.195453,33.6916,0.0,0.0,0.0,0.0,30.1826,
IconsSample,Datasets\IconsSample\139.png,3.88896,42.2325,2.56388,0.281089,0.281089,26.2376,0.0,0.0,0.0,0.0,43.3214,
IconsSample,Datasets\IconsSample\14.png,4.57822,41.5238,5.31391,0.366134,0.366134,34.4054,0.0,0.0,0.0,0.0,28.2554,
IconsSample,Datasets\IconsSample\140.png,2.79955,43.6599,2.40858,0.301205,0.301205,29.5369,0.0,0.0,0.0,0.0,55.4067,
IconsSample,Datasets\IconsSample\141.png,6.20655,40.2023,4.62697,0.52104,0.52104,31.4399,0.0,0.0,0.0,0.0,73.503,
IconsSample,Datasets\IconsSample\142.png,1.12514,47.6187,1.81737,0.172803,0.172803,69.743,0.0,0.0,0.0,0.0,33.8563,
IconsSample,Datasets\IconsSample\143.png,7.78646,39.2174,4.87209,0.197606,0.197606,27.4983,0.0,0.0,0.0,0.0,59.9897,
IconsSample,Datasets\IconsSample\144.png,5.91627,40.4103,5.33966,0.457882,0.457882,30.7155,0.0,0.0,0.0,0.0,36.999,
IconsSample,Datasets\IconsSample\145.png,5.92451,40.4043,3.94098,0.494856,0.494856,30.0153,0.0,0.0,0.0,0.0,70.8727,
IconsSample,Datasets\IconsSample\146.png,3.18074,43.1055,2.90345,0.180702,0.180702,24.5295,0.0,0.0,0.0,0.0,29.5775,
IconsSample,Datasets\IconsSample\147.png,3.81074,42.3207,3.08712,0.403799,0.403799,32.0779,0.0,0.0,0.0,0.0,69.7521,
IconsSample,Datasets\IconsSample\148.png,5.84586,40.4623,3.52556,0.418493,0.418493,30.912,0.0,0.0,0.0,0.0,35.4723,
IconsSample,Datasets\IconsSample\149.png,6.09032,40.2844,5.98299,0.499001,0.499001,28.0831,0.0,0.0,0.0,0.0,27.55,
IconsSample,Datasets\IconsSample\15.png,8.11485,39.038,4.97442,0.469294,0.469294,64.984,0.0,0.0,0.0,0.0,69.473,
IconsSample,Datasets\IconsSample\150.png,2.31581,44.4838,3.2846,0.293773,0.293773,27.3166,0.0,0.0,0.0,0.0,71.36,
IconsSample,Datasets\IconsSample\151.png,4.41197,41.6845,3.96251,0.452935,0.452935,37.0552,0.0,0.0,0.0,0.0,45.0439,
IconsSample,Datasets\IconsSample\152.png,2.82155,43.6259,2.98796,0.355295,0.355295,34.1199,0.0,0.0,0.0,0.0,73.2112,
IconsSample,Datasets\IconsSample\153.png,2.57843,44.0173,3.26961,0.242352,0.242352,32.3766,0.0,0.0,0.0,0.0,26.8308,
IconsSample,Datasets\IconsSample\154.png,9.10311,38.5389,4.5859,0.219638,0.219638,26.724,0.0,0.0,0.0,0.0,30.9379,
IconsSample,Datasets\IconsSample\155.png,1.79552,45.5889,2.30119,0.299305,0.299305,28.6876,0.0,0.0,0.0,0.0,71.4267,
IconsSample,Datasets\IconsSample\156.png,5.70644,40.5672,4.00462,0.455609,0.455609,27.4406,0.0,0.0,0.0,0.0,52.7252,
IconsSample,Datasets\IconsSample\157.png,4.29692,41.7992,3.33481,0.36708,0.36708,31.5309,0.0,0.0,0.0,0.0,78.1733,
IconsSample,Datasets\IconsSample\158.png,3.75366,42.3863,3.43902,0.12152,0.12152,24.9299,0.0,0.0,0.0,0.0,36.5398,
IconsSample,Datasets\IconsSample\159.png,6.77428,39.8222,5.13251,0.401542,0.401542,25.4184,0.0,0.0,0.0,0.0,33.1467,
IconsSample,Datasets\IconsSample\16.png,3.12914,43.1765,3.12174,0.279618,0.279618,22.4643,0.0,0.0,0.0,0.0,28.6336,
IconsSample,Datasets\IconsSample\160.png,7.2027,39.5558,4.36029,0.509561,0.509561,60.0626,0.0,0.0,0.0,0.0,61.3691,
IconsSample,Datasets\IconsSample\161.png,5.03548,41.1104,3.11784,0.181271,0.181271,61.2847,0.0,0.0,0.0,0.0,71.1932,
IconsSample,Datasets\IconsSample\162.png,2.30658,44.5011,1.58424,0.402337,0.402337,29.8224,0.0,0.0,0.0,0.0,27.2008,
IconsSample,Datasets\IconsSample\163.png,4.17333,41.926,4.48419,0.388371,0.388371,33.2366,0.0,0.0,0.0,0.0,74.8801,
IconsSample,Datasets\IconsSample\164.png,4.21481,41.883,2.75423,0.426172,0.426172,30.8554,0.0,0.0,0.0,0.0,35.0126,
IconsSample,Datasets\IconsSample\165.png,1.96301,45.2016,2.98842,0.246508,0.246508,25.7401,0.0,0.0,0.0,0.0,36.5882,
IconsSample,Datasets\IconsSample\166.png,4.16359,41.9361,4.67401,0.326987,0.326987,27.3653,0.0,0.0,0.0,0.0,68.9776,
IconsSample,Datasets\IconsSample\167.png,3.19785,43.0822,3.34579,0.380031,0.380031,30.3342,0.0,0.0,0.0,0.0,35.0212,
IconsSample,Datasets\IconsSample\168.png,6.03546,40.3237,4.30293,0.454373,0.454373,62.473,0.0,0.0,0.0,0.0,71.5486,
IconsSample,Datasets\IconsSample\169.png,4.80759,41.3115,3.05816,0.429488,0.429488,33.7178,0.0,0.0,0.0,0.0,30.1836,
IconsSample,Datasets\IconsSample\17.png,4.88502,41.2421,3.55345,0.435539,0.435539,32.6494,0.0,0.0,0.0,0.0,28.5438,
IconsSample,Datasets\IconsSample\170.png,4.34965,41.7463,3.4209,0.320716,0.320716,41.0509,0.0,0.0,0.0,0.0,39.4329,
IconsSample,Datasets\IconsSample\171.png,2.58933,43.9989,4.16487,0.272869,0.272869,29.5364,0.0,0.0,0.0,0.0,33.6091,
IconsSample,Datasets\IconsSample\172.png,3.42456,42.7848,2.98846,0.324991,0.324991,32.1931,0.0,0.0,0.0,0.0,24.7968,
IconsSample,Datasets\IconsSample\173.png,4.86449,41.2604,4.26188,0.401906,0.401906,33.957,0.0,0.0,0.0,0.0,29.7037,
IconsSample,Datasets\IconsSample\174.png,6.77414,39.8223,5.11558,0.531897,0.531897,29.7486,0.0,0.0,0.0,0.0,30.3934,
IconsSample,Datasets\IconsSample\175.png,7.63729,39.3014,4.83728,0.53621,0.53621,46.8006,0.0,0.0,0.0,0.0,24.5333,
IconsSample,Datasets\IconsSample\176.png,3.91715,42.2011,4.91445,0.2775,0.2775,24.1966,0.0,0.0,0.0,0.0,31.7685,
IconsSample,Datasets\IconsSample\177.png,1.24403,47.1825,2.41082,0.194112,0.194112,57.4523,0.0,0.0,0.0,0.0,66.1714,
IconsSample,Datasets\IconsSample\178.png,2.46134,44.2191,3.48018,0.221145,0.221145,49.9706,0.0,0.0,0.0,0.0,69.0253,
IconsSample,Datasets\IconsSample\179.png,4.78704,41.3301,4.33083,0.476786,0.476786,25.6791,0.0,0.0,0.0,0.0,44.135,
IconsSample,Datasets\IconsSample\18.png,6.02766,40.3293,3.63254,0.459174,0.459174,25.6194,0.0,0.0,0.0,0.0,26.3808,
IconsSample,Datasets\IconsSample\180.png,6.99186,39.6849,4.47339,0.20766,0.20766,24.5991,0.0,0.0,0.0,0.0,71.737,
IconsSample,Datasets\IconsSample\181.png,3.88507,42.2368,3.21328,0.339666,0.339666,47.0812,0.0,0.0,0.0,0.0,29.6265,
IconsSample,Datasets\IconsSample\182.png,7.14317,39.5919,5.29734,0.550907,0.550907,30.2917,0.0,0.0,0.0,0.0,71.7258,
IconsSample,Datasets\IconsSample\183.png,2.86597,43.5581,6.13582,0.245989,0.245989,28.0172,0.0,0.0,0.0,0.0,46.5765,
IconsSample,Datasets\IconsSample\184.png,5.18238,40.9855,4.21926,0.465643,0.465643,32.642,0.0,0.0,0.0,0.0,44.0341,
IconsSample,Datasets\IconsSample\185.png,4.95421,41.1811,4.17495,0.469846,0.469846,43.4381,0.0,0.0,0.0,0.0,25.9324,
IconsSample,Datasets\IconsSample\186.png,7.87174,39.1701,5.01896,0.577697,0.577697,57.0216,0.0,0.0,0.0,0.0,70.5317,
IconsSample,Datasets\IconsSample\187.png,3.78051,42.3553,3.9021,0.317883,0.317883,25.7879,0.0,0.0,0.0,0.0,53.5012,
IconsSample,Datasets\IconsSample\188.png,2.37118,44.3812,3.25008,0.100154,0.100154,32.7541,0.0,0.0,0.0,0.0,30.0603,
IconsSample,Datasets\IconsSample\189.png,5.42245,40.7888,3.21483,0.362495,0.362495,31.2308,0.0,0.0,0.0,0.0,24.2551,
IconsSample,Datasets\IconsSample\19.png,4.17768,41.9215,2.63054,0.425066,0.425066,28.0405,0.0,0.0,0.0,0.0,23.2351,
IconsSample,Datasets\IconsSample\190.png,5.58898,40.6575,4.64343,0.391694,0.391694,31.0757,0.0,0.0,0.0,0.0,69.6108,
IconsSample,Datasets\IconsSample\191.png,4.20589,41.8922,4.9012,0.19802,0.19802,27.6358,0.0,0.0,0.0,0.0,70.6703,
IconsSample,Datasets\IconsSample\192.png,4.00683,42.1028,2.76747,0.294028,0.294028,28.3968,0.0,0.0,0.0,0.0,34.832,
IconsSample,Datasets\IconsSample\193.png,4.55225,41.5485,4.29945,0.472796,0.472796,52.7233,0.0,0.0,0.0,0.0,64.4947,
IconsSample,Datasets\IconsSample\194.png,4.54567,41.5548,3.8371,0.378723,0.378723,30.7708,0.0,0.0,0.0,0.0,42.6548,
IconsSample,Datasets\IconsSample\195.png,7.1226,39.6044,4.3264,0.504375,0.504375,58.9479,0.0,0.0,0.0,0.0,30.5597,
IconsSample,Datasets\IconsSample\196.png,0.869213,48.7395,1.29164,0.212043,0.212043,29.9554,0.0,0.0,0.0,0.0,55.1257,
IconsSample,Datasets\IconsSample\197.png,5.31693,40.8742,4.7845,0.437688,0.437688,24.6118,0.0,0.0,0.0,0.0,24.2503,
IconsSample,Datasets\IconsSample\198.png,4.69191,41.4173,3.39477,0.356639,0.356639,24.1712,0.0,0.0,0.0,0.0,29.2076,
