dataset,image_path,mse,psnr,original_entropy,transformed_entropy,quantized_entropy,encode_ms,quant_ms,entropy_enc_ms,entropy_dec_ms,dequant_ms,inverse_ms,error
AerialImages,Datasets\AerialImages\11.png,2.54991,44.0656,7.35337,4.7675,4.7675,227.789,0.0,0.0,0.0,0.0,219.144,
AerialImages,Datasets\AerialImages\12.png,2.57037,44.0308,6.3301,4.44961,4.44961,147.022,0.0,0.0,0.0,0.0,110.719,
AerialImages,Datasets\AerialImages\13.png,2.58825,44.0007,6.56738,4.89075,4.89075,27.122,0.0,0.0,0.0,0.0,19.3108,
AerialImages,Datasets\AerialImages\14.png,2.53998,44.0825,7.57873,5.09009,5.09009,53.122,0.0,0.0,0.0,0.0,49.644,
AerialImages,Datasets\AerialImages\15.png,2.56513,44.0397,6.67723,4.62928,4.62928,148.601,0.0,0.0,0.0,0.0,98.7127,
AerialImages,Datasets\AerialImages\16.png,2.53507,44.0909,6.92361,4.81092,4.81092,238.713,0.0,0.0,0.0,0.0,162.773,
AerialImages,Datasets\AerialImages\17.png,2.51558,44.1244,7.35108,4.87906,4.87906,27.144,0.0,0.0,0.0,0.0,55.5175,
AerialImages,Datasets\AerialImages\20.png,2.50022,44.151,7.39831,5.45431,5.45431,52.3187,0.0,0.0,0.0,0.0,17.6202,
AerialImages,Datasets\AerialImages\21.png,2.62873,43.9333,6.77765,4.40549,4.40549,230.852,0.0,0.0,0.0,0.0,205.326,
AerialImages,Datasets\AerialImages\22.png,2.53214,44.0959,7.03531,4.68069,4.68069,205.358,0.0,0.0,0.0,0.0,203.902,
AerialImages,Datasets\AerialImages\23.png,2.6293,43.9324,6.91268,5.05068,5.05068,50.1316,0.0,0.0,0.0,0.0,52.2333,
AerialImages,Datasets\AerialImages\26.png,0.249275,54.164,6.73265,2.95225,2.95225,144.677,0.0,0.0,0.0,0.0,119.298,
AerialImages,Datasets\AerialImages\27.png,2.44149,44.2542,6.87088,4.44055,4.44055,51.3103,0.0,0.0,0.0,0.0,44.4339,
AerialImages,Datasets\AerialImages\28.png,2.56448,44.0408,7.07281,5.45299,5.45299,46.2443,0.0,0.0,0.0,0.0,43.4258,
AerialImages,Datasets\AerialImages\29.png,2.59009,43.9976,6.99398,5.09642,5.09642,199.728,0.0,0.0,0.0,0.0,203.71,
AerialImages,Datasets\AerialImages\30.png,2.54076,44.0812,7.47051,5.45705,5.45705,27.2282,0.0,0.0,0.0,0.0,38.1038,
AerialImages,Datasets\AerialImages\31.png,2.61548,43.9553,6.79431,4.68844,4.68844,32.3024,0.0,0.0,0.0,0.0,55.8716,
AerialImages,Datasets\AerialImages\32.png,2.53466,44.0916,7.64701,5.29012,5.29012,239.484,0.0,0.0,0.0,0.0,216.423,
AerialImages,Datasets\AerialImages\33.png,2.53775,44.0863,7.33111,5.65522,5.65522,58.1321,0.0,0.0,0.0,0.0,52.2143,
AerialImages,Datasets\AerialImages\34.png,2.55618,44.0549,6.77764,4.55828,4.55828,129.128,0.0,0.0,0.0,0.0,124.164,
AerialImages,Datasets\AerialImages\35.png,2.52623,44.1061,7.12793,4.78267,4.78267,116.239,0.0,0.0,0.0,0.0,155.804,
AerialImages,Datasets\AerialImages\36.png,2.58219,44.0109,6.41329,4.32588,4.32588,120.781,0.0,0.0,0.0,0.0,122.308,
AerialImages,Datasets\AerialImages\37.png,2.69813,43.8202,6.57856,4.17325,4.17325,134.959,0.0,0.0,0.0,0.0,201.234,
AerialImages,Datasets\AerialImages\38.png,2.55443,44.0579,6.96194,4.51803,4.51803,139.053,0.0,0.0,0.0,0.0,114.231,
AerialImages,Datasets\AerialImages\8.png,2.59045,43.997,7.0507,4.93107,4.93107,119.877,0.0,0.0,0.0,0.0,209.13,
AerialImages,Datasets\AerialImages\9.png,2.55609,44.055,7.11768,5.38611,5.38611,140.289,0.0,0.0,0.0,0.0,112.648,
IconsSample,Datasets\IconsSample\1.png,0.0795396,59.125,2.17047,0.473914,0.473914,46.8545,0.0,0.0,0.0,0.0,45.5393,
IconsSample,Datasets\IconsSample\10.png,1.34588,46.8407,4.56524,0.740817,0.740817,21.3935,0.0,0.0,0.0,0.0,22.0172,
IconsSample,Datasets\IconsSample\100.png,0.423754,51.8597,3.1377,0.491547,0.491547,28.9659,0.0,0.0,0.0,0.0,40.4044,
