transform,dataset,image_path,mse,psnr,compression_ratio,direct_compression_ratio,original_entropy,transformed_entropy,quantized_entropy,quantization_scale,encode_ms,decode_ms,error
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,64.7203,30.0204,14.4991,6.91387,6.67723,4.49371,0.433123,1.8488425889503632,11793.0,9059.33,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,88.7446,28.6494,20.0887,7.32737,6.67723,4.49371,0.289193,3.1947999937062272,11891.0,8977.22,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,53.4616,30.8504,11.5938,6.54291,6.67723,4.49371,0.574073,1.2839184645488633,11798.4,9091.59,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,78.6077,29.1762,18.0073,7.20235,6.67723,4.49371,0.331985,2.662333328088523,11896.0,9058.74,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,58.5914,30.4525,12.9522,6.73869,6.67723,4.49371,0.499156,1.540702157458636,11948.2,9053.33,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,71.4407,29.5913,16.2533,7.07102,6.67723,4.49371,0.377296,2.2186111067404357,12052.4,9032.31,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,48.4045,31.2819,10.3706,6.32999,6.67723,4.49371,0.657556,1.0699320537907195,12694.2,9131.81,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,44.3222,31.6646,9.30513,6.10906,6.67723,4.49371,0.746053,0.8916100448255997,12662.4,9159.77,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,40.3559,32.0717,8.30121,5.85736,6.67723,4.49371,0.851584,0.7430083706879997,12757.5,9180.75,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,36.6202,32.4936,7.45476,5.59973,6.67723,4.49371,0.964743,0.6191736422399998,12878.7,9242.0,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,33.4189,32.8909,6.69629,5.32939,6.67723,4.49371,1.08777,0.5159780351999999,13072.6,9301.92,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,30.3033,33.3159,6.01579,5.06167,6.67723,4.49371,1.21672,0.42998169599999986,13251.7,9357.47,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,27.189,33.7869,5.33847,4.7524,6.67723,4.49371,1.37832,0.3583180799999999,13614.5,9364.94,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,24.4916,34.2406,4.78948,4.46545,6.67723,4.49371,1.53948,0.29859839999999993,13576.3,9474.89,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,16.818,35.8731,3.4955,3.64915,6.67723,4.49371,2.07582,0.17279999999999998,14585.5,9741.58,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,21.6974,34.7667,4.23437,4.15111,6.67723,4.49371,1.73491,0.24883199999999994,14130.8,9519.01,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,14.5033,36.5161,3.11105,3.37014,6.67723,4.49371,2.3014,0.144,14763.9,9805.66,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,19.2793,35.2799,3.87539,3.91419,6.67723,4.49371,1.88733,0.20736,14322.9,9620.87,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,12.4693,37.1724,2.79696,3.10602,6.67723,4.49371,2.53259,0.12,15182.1,9890.7,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,10.5823,37.885,2.4902,2.84223,6.67723,4.49371,2.7936,0.1,15784.9,10042.8,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,146.065,26.4854,10.8697,2.62719,6.67723,3.81439,0.0697163,112.45540695195746,5349.91,2770.99,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,91.0433,28.5383,7.10629,2.5441,6.67723,3.81439,0.182541,51.18589301409078,5404.74,2810.08,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,127.352,27.0808,9.91655,2.60775,6.67723,3.81439,0.0911173,86.50415919381344,5478.98,2784.65,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,73.1857,29.4865,5.6926,2.49153,6.67723,3.81439,0.262465,39.37376385699291,5544.55,2838.84,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,57.4168,30.5404,4.65207,2.42318,6.67723,3.81439,0.355641,30.287510659225312,5537.43,2874.61,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,108.958,27.7582,8.59319,2.583,6.67723,3.81439,0.126317,66.54166091831802,5759.78,2781.97,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,43.4621,31.7497,3.60861,2.31005,6.67723,3.81439,0.511568,23.29808512248101,6113.45,2915.72,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,30.7432,33.2533,2.84797,2.16183,6.67723,3.81439,0.711375,17.921603940370005,6461.15,2976.71,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,21.6416,34.7779,2.27534,1.99508,6.67723,3.81439,0.933464,13.785849184900005,6678.3,3101.57,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,14.9826,36.3749,1.95758,1.84475,6.67723,3.81439,1.12021,10.604499373000003,7127.56,3160.86,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,10.2604,38.0191,1.65723,1.67997,6.67723,3.81439,1.34717,8.157307210000003,7225.03,3236.97,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,6.29463,40.1411,1.38072,1.48142,6.67723,3.81439,1.6432,6.274851700000002,7303.51,3320.37,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,3.96201,42.1516,1.14452,1.29086,6.67723,3.81439,1.9841,4.826809000000001,8371.84,3537.8,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,2.22775,44.6521,0.936667,1.10016,6.67723,3.81439,2.39922,3.7129300000000005,8857.74,3720.59,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,2.18621,44.7339,0.879982,1.02612,6.67723,3.81439,2.58914,2.8561000000000005,9027.77,3746.04,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,0.936005,48.418,0.69556,0.795,6.67723,3.81439,3.30041,1.6900000000000002,9881.46,3948.92,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,1.29544,47.0066,0.81911,0.940184,6.67723,3.81439,2.81094,2.197,9229.07,3743.21,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,0.984203,48.2,0.600467,0.690232,6.67723,3.81439,3.81439,0.7692307692307692,10223.2,4020.34,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,0.894938,48.6129,0.648793,0.745043,6.67723,3.81439,3.53079,1.3,10305.1,3966.33,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,0.209079,54.9277,0.606275,0.690232,6.67723,3.81439,3.81439,1.0,10551.3,4012.71,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,150.806,26.3466,7.89036,7.93702,6.67723,5.95826,0.0460901,112.45540695195746,8103.64,3082.94,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,97.3759,28.2463,7.50527,7.70423,6.67723,5.95826,0.178605,51.18589301409078,8182.25,3033.29,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/1.png,133.739,26.8682,7.81462,7.8921,6.67723,5.95826,0.0744275,86.50415919381344,8183.38,3081.19,
